date,open,high,low,close,volume
2024-04-12 09:15:00,700.0,700.0,700.0,700.0,0
2024-04-12 09:44:00,755.0,755.0,755.0,755.0,13189595
2024-04-12 09:45:00,755.0,755.0,755.0,755.0,0
2024-04-12 09:48:00,755.0,755.0,755.0,755.0,0
2024-04-12 09:51:00,755.0,755.0,755.0,755.0,0
2024-04-12 09:54:00,755.0,755.0,755.0,755.0,0
2024-04-12 09:55:00,755.0,755.0,755.0,755.0,0
2024-04-12 09:56:00,755.0,755.0,755.0,755.0,0
2024-04-12 09:57:00,755.0,755.0,755.0,755.0,0
2024-04-12 09:58:00,755.0,755.0,755.0,755.0,0
2024-04-12 09:59:00,755.0,755.0,755.0,755.0,0
2024-04-12 10:00:00,762.5,769.0,755.35,761.25,5162812
2024-04-12 10:01:00,760.65,765.05,757.5,762.45,1810987
2024-04-12 10:02:00,762.4,769.4,762.1,763.65,902717
2024-04-12 10:03:00,763.55,772.5,763.25,770.7,854954
2024-04-12 10:04:00,770.55,784.75,770.55,783.3,1445151
2024-04-12 10:05:00,783.25,790.0,783.25,789.25,1209776
2024-04-12 10:06:00,789.0,798.0,787.0,798.0,1581462
2024-04-12 10:07:00,797.0,803.9,792.6,796.45,1513772
2024-04-12 10:08:00,796.15,796.15,786.55,791.0,620959
2024-04-12 10:09:00,791.2,792.0,786.55,792.0,326127
2024-04-12 10:10:00,789.35,814.8,789.35,811.35,726344
2024-04-12 10:11:00,811.9,818.65,810.05,816.8,590655
2024-04-12 10:12:00,816.4,823.0,816.15,821.35,611978
2024-04-12 10:13:00,821.5,823.0,817.35,818.0,546443
2024-04-12 10:14:00,818.25,818.55,807.0,808.85,452914
2024-04-12 10:15:00,808.85,824.9,808.85,815.3,421472
2024-04-12 10:16:00,815.75,819.4,808.4,808.75,215325
2024-04-12 10:17:00,809.2,811.65,793.75,799.95,640030
2024-04-12 10:18:00,799.9,803.8,799.05,799.35,393236
2024-04-12 10:19:00,799.9,799.9,797.05,798.35,257968
2024-04-12 10:20:00,798.35,806.65,797.55,803.3,248742
2024-04-12 10:21:00,803.8,803.8,800.25,802.55,82191
2024-04-12 10:22:00,802.7,811.3,800.0,810.0,234764
2024-04-12 10:23:00,810.15,814.5,810.0,811.9,240770
2024-04-12 10:24:00,811.6,813.4,810.05,811.7,93705
2024-04-12 10:25:00,811.95,812.2,807.4,810.05,153590
2024-04-12 10:26:00,810.0,814.45,810.0,814.45,155511
2024-04-12 10:27:00,815.0,815.55,810.0,810.15,108757
2024-04-12 10:28:00,810.85,812.3,810.25,811.25,59870
2024-04-12 10:29:00,811.25,819.2,811.05,817.65,157928
